====================================================================================
NaSto
Fractional-step RK3 with projection
====================================================================================
nx              =      128
ny              =       64
dx              =   1.5625E-02
dy              =   1.5625E-02
dt              =   1.0000E-03
nu              =   1.0000E-06
rho             =   1.0000E+00
time            =   0.0000E+00
time_end        =   2.0000E+01
istep           =        0
nsteps          =    20000
log_every       =        1
restart_every   =      100
vtk_every       =      100
ascii_every     =      100
poisson_maxit   =     5000
poisson_tol     =   1.0000E-06
use_restart     = F
restart_file    = ./data/field_000000.bin
out_dir         = ./data
====================================================================================
------------------------------------------------------------------------------------------------
   It        time        div*     div_corr    CFL_adv   CFL_diff   p_conv   p_iter     p_res
------------------------------------------------------------------------------------------------
     1   1.000E-03   1.731E-03   4.914E-12   6.42E-02   8.19E-06       T     247   7.709E-07
     2   2.000E-03   3.017E-07   7.677E-12   6.42E-02   8.19E-06       T     152   9.932E-07
     3   3.000E-03   3.019E-07   8.009E-12   6.42E-02   8.19E-06       T     153   9.951E-07
     4   4.000E-03   3.020E-07   8.172E-12   6.42E-02   8.19E-06       T     142   9.980E-07
     5   5.000E-03   3.022E-07   8.134E-12   6.42E-02   8.19E-06       T     174   9.743E-07
     6   6.000E-03   3.023E-07   4.980E-12   6.42E-02   8.19E-06       T     113   9.963E-07
     7   7.000E-03   3.025E-07   4.891E-12   6.42E-02   8.19E-06       T     145   9.952E-07
     8   8.000E-03   3.026E-07   6.785E-12   6.42E-02   8.19E-06       T     193   9.127E-07
     9   9.000E-03   3.028E-07   5.857E-12   6.42E-02   8.19E-06       T     182   9.729E-07
    10   1.000E-02   3.033E-07   4.470E-12   6.42E-02   8.19E-06       T     181   9.052E-07
    11   1.100E-02   3.037E-07   6.791E-12   6.42E-02   8.19E-06       T     192   6.838E-07
    12   1.200E-02   3.041E-07   5.914E-12   6.42E-02   8.19E-06       T     189   8.868E-07
    13   1.300E-02   3.046E-07   5.584E-12   6.42E-02   8.19E-06       T     185   8.516E-07
    14   1.400E-02   3.050E-07   5.871E-12   6.42E-02   8.19E-06       T     185   9.834E-07
    15   1.500E-02   3.055E-07   7.459E-12   6.42E-02   8.19E-06       T     192   5.035E-07
    16   1.600E-02   3.059E-07   3.108E-12   6.42E-02   8.19E-06       T     196   3.965E-07
    17   1.700E-02   3.064E-07   4.645E-12   6.42E-02   8.19E-06       T     182   6.398E-07
